baseline_id,baseline_class,lst_stratum,lst_bin_id,sat_rank,norad_id,sat_name,epoch,freq_mhz,peak_alt_deg,mean_alt_visible_deg,n_time_visible,doppler_min_hz,doppler_max_hz,doppler_abs_max_hz,doppler_span_hz,doppler_abs_max_khz,doppler_span_khz,fraction_of_48p8khz_spacing,fraction_of_12p2khz_linewidth
157_146,mid,typical,46,4,45570,SAT-45570-E26001.08086501,26001.08086501,150.0,72.4104293004152,71.56448021464637,3,-341.8721805079201,457.16868730731466,457.16868730731466,799.0408678152348,0.45716868730731464,0.7990408678152349,0.00936821080547776,0.03747284322191104
157_146,mid,typical,46,5,46292,SAT-46292-E26001.15633377,26001.15633377,150.0,72.34373335341994,72.30695127508784,2,-299.34571656914545,255.10858437904145,299.34571656914545,554.4543009481869,0.29934571656914544,0.5544543009481868,0.00613413353625298,0.02453653414501192
157_146,mid,typical,46,6,49261,SAT-49261-E26001.15461052,26001.15461052,150.0,71.53778194808001,71.07436982997172,2,-397.24765659971763,111.8490437388998,397.24765659971763,509.09670033861744,0.3972476565997176,0.5090967003386174,0.008140320831961426,0.032561283327845705
157_146,mid,stress,0,1,46696,SAT-46696-E26001.00003472,26001.00003472,150.0,86.61659354435372,80.62094422858915,4,-894.0740217705511,742.6665137295333,894.0740217705511,1636.7405355000844,0.8940740217705511,1.6367405355000844,0.018321188970708013,0.07328475588283205
157_146,mid,stress,0,2,48029,SAT-48029-E26001.15965029,26001.15965029,150.0,85.10376826151555,79.60637395586066,5,-902.1129403576266,729.2583002725264,902.1129403576266,1631.371240630153,0.9021129403576266,1.6313712406301528,0.018485920908967758,0.07394368363587103
157_146,mid,stress,0,3,44725,SAT-44725-E26001.60793575,26001.60793575,150.0,84.15168638094258,79.02850166418537,5,-860.8845718776031,769.2234936057982,860.8845718776031,1630.1080654834013,0.8608845718776031,1.6301080654834013,0.017641077292573835,0.07056430917029534
157_146,mid,stress,0,4,46687,SAT-46687-E26001.59635556,26001.59635556,150.0,73.7079505041063,72.30809952335672,3,-641.2314523617189,387.24271486930104,641.2314523617189,1028.47416723102,0.6412314523617189,1.0284741672310198,0.013139988777904076,0.052559955111616305
159_76,mid,quiet,22,1,45217,SAT-45217-E26001.17853548,26001.17853548,150.0,81.3054871930738,76.19429979732143,3,-1022.1349458708977,-441.81883392506444,1022.1349458708977,580.3161119458332,1.0221349458708977,0.5803161119458332,0.02094538823505938,0.08378155294023752
159_76,mid,quiet,22,2,47392,SAT-47392-E26001.18361338,26001.18361338,150.0,72.96229376612406,72.08404796281197,3,-499.1896127544372,305.21993499361815,499.1896127544372,804.4095477480553,0.4991896127544372,0.8044095477480553,0.01022929534332863,0.04091718137331452
159_76,mid,quiet,22,3,47391,SAT-47391-E26001.18266838,26001.18266838,150.0,70.43941167943609,70.43941167943609,1,-4.663090498269893,-4.663090498269893,4.663090498269893,0.0,0.004663090498269893,0.0,9.555513316126831e-05,0.00038222053264507324
159_76,mid,typical,44,1,46146,SAT-46146-E26001.71208310,26001.71208310,150.0,86.58801156902221,79.29365457026981,6,-1015.4825214347412,1002.5682515251493,1015.4825214347412,2018.0507729598905,1.0154825214347412,2.0180507729598904,0.02080906806218732,0.08323627224874929
159_76,mid,typical,44,2,46484,SAT-46484-E26001.60114006,26001.60114006,150.0,71.23009826271361,70.67167389262477,2,-34.58133762994331,400.08984985791574,400.08984985791574,434.6711874878591,0.40008984985791574,0.43467118748785905,0.008198562497088438,0.03279424998835375
159_76,mid,typical,44,3,48165,SAT-48165-E26001.13184342,26001.13184342,150.0,70.05229272645082,70.05229272645082,1,-155.20142582841007,-155.20142582841007,155.20142582841007,0.0,0.15520142582841007,0.0,0.003180357086647747,0.012721428346590988
159_76,mid,stress,0,1,46696,SAT-46696-E26001.00003472,26001.00003472,150.0,86.61659354435372,80.62094422858915,4,-894.0740217705511,742.6665137295333,894.0740217705511,1636.7405355000844,0.8940740217705511,1.6367405355000844,0.018321188970708013,0.07328475588283205
159_76,mid,stress,0,2,48029,SAT-48029-E26001.15965029,26001.15965029,150.0,85.10376826151555,79.60637395586066,5,-902.1129403576266,729.2583002725264,902.1129403576266,1631.371240630153,0.9021129403576266,1.6313712406301528,0.018485920908967758,0.07394368363587103
159_76,mid,stress,0,3,44725,SAT-44725-E26001.60793575,26001.60793575,150.0,84.15168638094258,79.02850166418537,5,-860.8845718776031,769.2234936057982,860.8845718776031,1630.1080654834013,0.8608845718776031,1.6301080654834013,0.017641077292573835,0.07056430917029534
159_76,mid,stress,0,4,46687,SAT-46687-E26001.59635556,26001.59635556,150.0,73.7079505041063,72.30809952335672,3,-641.2314523617189,387.24271486930104,641.2314523617189,1028.47416723102,0.6412314523617189,1.0284741672310198,0.013139988777904076,0.052559955111616305
23_80,long,quiet,48,1,46066,SAT-46066-E26001.09836954,26001.09836954,150.0,79.45305118035263,75.81149111827352,5,-857.7220172532418,759.2154906335294,857.7220172532418,1616.937507886771,0.8577220172532418,1.6169375078867712,0.017576270845353317,0.07030508338141327
23_80,long,quiet,48,2,47487,SAT-47487-E26001.11079543,26001.11079543,150.0,74.12258150924349,74.12258150924349,1,819.9303523183913,819.9303523183913,819.9303523183913,0.0,0.8199303523183913,0.0,0.01680185148193425,0.067207405927737
